"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 30 23:53:24 GMT 2023","Mon Jan 30 23:53:26 GMT 2023","2295","","allure.StepTest","","allure.StepTest","testAnnotatedStep","testAnnotatedStep()",""
"passed","Mon Jan 30 23:53:26 GMT 2023","Mon Jan 30 23:53:28 GMT 2023","2489","","allure.StepTest","","allure.StepTest","testLambdaStep","testLambdaStep()",""
"passed","Mon Jan 30 23:53:16 GMT 2023","Mon Jan 30 23:53:23 GMT 2023","7460","","allure.SelenideTest","","allure.SelenideTest","testIssueSearch","testIssueSearch()",""
